<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.07.31	197.814	199.498	196.946	199.051	147533	0	22
2025.08.01	199.095	199.289	195.315	195.700	185673	0	22
2025.08.04	195.674	196.516	195.014	195.362	145386	0	22
2025.08.05	195.480	196.440	195.017	196.220	135906	0	24
2025.08.06	196.259	197.066	196.077	196.782	118759	0	23
2025.08.07	196.761	198.008	196.220	197.784	146611	0	22
2025.08.08	197.723	198.814	197.368	198.690	125530	0	22
2025.08.11	198.474	199.056	198.164	198.948	96726	0	22
2025.08.12	198.857	200.062	198.789	199.571	134915	0	22
2025.08.13	199.548	200.263	199.413	200.070	110721	0	22
2025.08.14	200.005	200.146	198.579	199.877	131941	0	22
2025.08.15	199.918	200.053	198.899	199.389	98575	0	22
2025.08.18	199.496	200.255	199.360	199.613	101016	0	22
2025.08.19	199.674	199.848	198.802	199.201	96608	0	22
2025.08.20	199.068	199.432	197.841	198.168	114869	0	22
2025.08.21	198.235	199.214	198.104	198.968	125374	0	22
2025.08.22	198.853	199.518	198.307	198.703	131848	0	22
2025.08.25	198.606	199.281	198.440	198.740	99406	0	22
2025.08.26	198.837	199.042	198.255	198.664	141299	0	22
2025.08.27	198.630	199.174	198.469	198.955	117862	0	22
2025.08.28	198.885	199.125	198.381	198.509	122237	0	22
2025.08.29	198.471	198.643	197.932	198.538	125443	0	22
2025.09.01	198.508	199.550	198.356	199.310	89213	0	22
2025.09.02	199.302	200.252	198.302	198.671	155210	0	22
2025.09.03	198.624	199.706	198.468	199.106	123601	0	22
2025.09.04	199.027	199.809	198.756	199.446	113683	0	22
2025.09.05	199.424	199.776	198.657	199.052	140892	0	22
2025.09.08	200.040	200.330	199.344	199.779	126981	0	22
2025.09.09	199.777	199.856	198.778	199.369	99164	0	22
2025.09.10	199.287	199.792	199.196	199.488	113364	0	22
2025.09.11	199.465	200.046	199.316	199.797	122430	0	22
2025.09.12	199.794	200.470	199.639	200.151	110753	0	22
2025.09.15	200.054	200.732	199.909	200.430	71585	0	22
2025.09.16	200.394	200.700	199.770	199.813	95823	0	22
2025.09.17	199.902	200.335	199.465	200.213	104359	0	22
2025.09.18	200.266	201.252	200.027	200.556	139675	0	0
2025.09.19	200.518	200.597	199.196	199.260	113390	0	22
2025.09.22	199.249	199.779	199.153	199.585	102101	0	22
2025.09.23	199.585	199.951	199.133	199.671	115658	0	22
2025.09.24	199.588	200.215	199.446	200.201	106981	0	22
2025.09.25	200.142	200.330	199.576	199.819	101444	0	22
2025.09.26	199.838	200.502	199.680	200.195	107219	0	22
2025.09.29	200.278	200.399	199.322	199.537	81964	0	22
2025.09.30	199.528	199.755	198.564	198.851	118001	0	22
2025.10.01	198.800	199.204	197.905	198.181	139172	0	22
2025.10.02	198.162	198.595	197.471	197.870	111514	0	22
2025.10.03	197.821	198.851	197.731	198.765	102332	0	22
2025.10.06	200.880	202.798	200.199	202.739	154182	0	22
2025.10.07	202.661	204.051	202.099	203.857	105685	0	22
2025.10.08	203.972	205.305	203.723	204.633	110505	0	22
2025.10.09	204.691	204.865	203.297	203.625	133018	0	22
2025.10.10	203.473	203.737	201.787	201.787	157676	0	22
2025.10.13	202.722	203.230	202.427	203.033	120588	0	22
2025.10.14	202.900	203.500	201.317	202.172	133299	0	22
2025.10.15	202.130	202.700	201.576	202.438	114604	0	22
2025.10.16	202.295	203.419	201.699	202.076	138863	0	22
2025.10.17	202.053	202.243	200.664	202.187	145911	0	22
2025.10.20	202.054	203.094	201.814	202.041	97009	0	22
2025.10.21	202.004	203.510	201.802	203.071	119250	0	22
2025.10.22	203.078	203.243	201.902	202.937	120284	0	22
2025.10.23	202.928	203.779	202.784	203.307	93940	0	22
2025.10.24	203.268	203.969	203.072	203.476	99798	0	22
2025.10.27	203.946	204.225	203.521	203.773	93293	0	22
2025.10.28	203.763	203.804	201.653	201.848	105956	0	22
2025.10.29	201.849	201.953	200.551	201.414	126874	0	22
2025.10.30	201.398	203.247	200.976	202.589	142608	0	22
2025.10.31	202.617	202.906	201.831	202.517	112970	0	22
2025.11.03	202.306	202.787	201.902	202.579	85350	0	22
2025.11.04	202.641	202.672	199.860	200.039	114621	0	22
2025.11.05	200.094	201.229	199.048	201.113	115615	0	22
2025.11.06	201.062	201.365	200.283	201.087	117222	0	22
2025.11.07	200.940	202.080	200.635	201.960	134688	0	22
2025.11.10	202.178	203.225	201.783	203.025	118610	0	22
2025.11.11	202.952	203.258	202.313	202.669	107609	0	22
2025.11.12	202.738	203.553	202.564	203.283	104070	0	22
2025.11.13	203.216	204.051	202.951	203.816	138175	0	22
2025.11.14	203.866	204.010	202.327	203.497	154558	0	22
2025.11.17	203.352	204.510	203.115	204.193	107805	0	22
2025.11.18	204.214	204.729	203.684	204.403	154521	0	22
2025.11.19	204.433	205.351	203.969	205.179	141801	0	22
2025.11.20	205.181	206.845	204.788	205.796	145901	0	22
2025.11.21	205.882	206.035	204.276	204.785	175362	0	22
2025.11.24	204.865	205.894	204.857	205.590	130096	0	22
2025.11.25	205.605	205.978	204.984	205.430	129684	0	22
2025.11.26	205.367	207.173	205.322	207.164	134137	0	22
2025.11.27	207.115	207.180	206.412	206.899	78400	0	22
2025.11.28	206.903	207.185	206.132	206.754	267508	0	22
2025.12.01	206.456	206.738	205.192	205.279	107318	0	22
