<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.02	1.25124	1.25395	1.23510	1.23788	94461	0	18
2025.01.03	1.23721	1.24330	1.23667	1.24211	75579	0	18
2025.01.06	1.24202	1.25492	1.24097	1.25185	106137	0	18
2025.01.07	1.25130	1.25742	1.24753	1.24762	89304	0	18
2025.01.08	1.24732	1.24933	1.23203	1.23619	99948	0	18
2025.01.09	1.23570	1.23646	1.22376	1.23056	87083	0	18
2025.01.10	1.23019	1.23213	1.21909	1.22061	113852	0	18
2025.01.13	1.22046	1.22091	1.20982	1.22012	106137	0	18
2025.01.14	1.21951	1.22485	1.21381	1.22146	113651	0	18
2025.01.15	1.22126	1.23048	1.21595	1.22424	92255	0	18
2025.01.16	1.22347	1.22595	1.21733	1.22370	99652	0	18
2025.01.17	1.22358	1.22435	1.21600	1.21668	86980	0	18
2025.01.20	1.21687	1.23432	1.21592	1.23254	98882	0	18
2025.01.21	1.23204	1.23587	1.22282	1.23511	125126	0	18
2025.01.22	1.23439	1.23750	1.23059	1.23143	89799	0	18
2025.01.23	1.23137	1.23746	1.22917	1.23507	100021	0	18
2025.01.24	1.23485	1.25012	1.23472	1.24808	116723	0	18
2025.01.27	1.24660	1.25224	1.24253	1.24980	117729	0	18
2025.01.28	1.24939	1.24966	1.24139	1.24410	108794	0	18
2025.01.29	1.24354	1.24618	1.23926	1.24495	123117	0	18
2025.01.30	1.24405	1.24762	1.24061	1.24147	117906	0	18
2025.01.31	1.24136	1.24703	1.23853	1.23907	130428	0	18
2025.02.03	1.22849	1.24533	1.22482	1.24476	209463	0	18
2025.02.04	1.24482	1.24917	1.23783	1.24805	138486	0	18
2025.02.05	1.24753	1.25493	1.24622	1.25029	123166	0	18
2025.02.06	1.25032	1.25090	1.23599	1.24332	113994	0	18
2025.02.07	1.24309	1.24917	1.23755	1.24038	112632	0	18
2025.02.10	1.23731	1.24206	1.23614	1.23651	86608	0	18
2025.02.11	1.23650	1.24542	1.23319	1.24449	84276	0	18
2025.02.12	1.24356	1.24825	1.23769	1.24421	117195	0	18
2025.02.13	1.24356	1.25669	1.24340	1.25647	127915	0	18
2025.02.14	1.25581	1.26300	1.25480	1.25841	111363	0	18
2025.02.17	1.25727	1.26341	1.25727	1.26245	76020	0	18
2025.02.18	1.26174	1.26240	1.25817	1.26121	90244	0	18
2025.02.19	1.26125	1.26398	1.25617	1.25838	79568	0	18
2025.02.20	1.25786	1.26706	1.25774	1.26683	85491	0	18
2025.02.21	1.26641	1.26774	1.26234	1.26296	84698	0	18
2025.02.24	1.26313	1.26902	1.26116	1.26239	92725	0	18
2025.02.25	1.26235	1.26764	1.26043	1.26652	91902	0	18
2025.02.26	1.26638	1.27155	1.26346	1.26756	95832	0	18
2025.02.27	1.26706	1.26876	1.25963	1.25994	99602	0	18
2025.02.28	1.25971	1.26204	1.25588	1.25758	102256	0	18
2025.03.03	1.25828	1.27241	1.25783	1.27002	121129	0	18
2025.03.04	1.26945	1.27983	1.26783	1.27938	137915	0	18
2025.03.05	1.27886	1.29001	1.27674	1.28950	139590	0	18
2025.03.06	1.28897	1.29233	1.28653	1.28804	133994	0	18
2025.03.07	1.28783	1.29441	1.28720	1.29176	117669	0	18
2025.03.10	1.29157	1.29462	1.28603	1.28744	119253	0	18
2025.03.11	1.28753	1.29654	1.28710	1.29416	124966	0	18
2025.03.12	1.29413	1.29882	1.29118	1.29599	97202	0	18
2025.03.13	1.29612	1.29727	1.29196	1.29454	89069	0	18
2025.03.14	1.29455	1.29577	1.29094	1.29351	91122	0	18
2025.03.17	1.29287	1.29984	1.29240	1.29843	67016	0	18
2025.03.18	1.29840	1.30093	1.29505	1.29999	67385	0	18
2025.03.19	1.30000	1.30096	1.29536	1.30018	75350	0	18
2025.03.20	1.30032	1.30141	1.29347	1.29665	68740	0	18
2025.03.21	1.29665	1.29692	1.28862	1.29109	66952	0	18
2025.03.24	1.29061	1.29731	1.28941	1.29192	77630	0	18
2025.03.25	1.29206	1.29664	1.29004	1.29435	67764	0	18
2025.03.26	1.29430	1.29479	1.28696	1.28732	74470	0	18
2025.03.27	1.28735	1.29906	1.28701	1.29478	77781	0	18
2025.03.28	1.29470	1.29667	1.29210	1.29400	66928	0	18
2025.03.31	1.29391	1.29724	1.28861	1.29154	85216	0	18
2025.04.01	1.29156	1.29397	1.28778	1.29216	84962	0	18
2025.04.02	1.29151	1.30242	1.29001	1.30071	80501	0	18
2025.04.03	1.30020	1.32071	1.29705	1.31001	169699	0	18
2025.04.04	1.30942	1.31133	1.28526	1.28901	206363	0	18
2025.04.07	1.28381	1.29336	1.27063	1.27216	251648	0	18
2025.04.08	1.27169	1.28144	1.27155	1.27639	161401	0	18
2025.04.09	1.27605	1.28636	1.27420	1.28222	223144	0	18
2025.04.10	1.28057	1.29950	1.28049	1.29674	178178	0	18
2025.04.11	1.29663	1.31444	1.29610	1.30761	216384	0	18
2025.04.14	1.30886	1.32000	1.30619	1.31884	128372	0	18
2025.04.15	1.31831	1.32517	1.31624	1.32297	94129	0	18
2025.04.16	1.32231	1.32905	1.32104	1.32397	97480	0	18
2025.04.17	1.32370	1.32729	1.32011	1.32656	87839	0	18
2025.04.18	1.32565	1.32973	1.32503	1.32924	304679	0	18
2025.04.21	1.32681	1.34207	1.32681	1.33786	75738	0	18
2025.04.22	1.33704	1.34234	1.33240	1.33297	86217	0	18
