<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.01	1.34399	1.35267	1.34342	1.34755	94941	0	18
2025.10.02	1.34735	1.35089	1.33993	1.34379	74545	0	18
2025.10.03	1.34318	1.34851	1.34276	1.34753	65437	0	18
2025.10.06	1.34314	1.34895	1.34150	1.34833	92339	0	18
2025.10.07	1.34794	1.34864	1.33913	1.34217	73435	0	18
2025.10.08	1.34240	1.34373	1.33709	1.34020	80746	0	18
2025.10.09	1.34024	1.34181	1.32786	1.33013	95188	0	18
2025.10.10	1.32954	1.33699	1.32601	1.33478	99564	0	18
2025.10.13	1.33455	1.33652	1.33137	1.33316	84004	0	18
2025.10.14	1.33248	1.33528	1.32479	1.33179	101535	0	18
2025.10.15	1.33170	1.34068	1.33130	1.34015	87257	0	18
2025.10.16	1.33917	1.34541	1.33890	1.34337	93842	0	18
2025.10.17	1.34306	1.34707	1.33895	1.34219	103163	0	18
2025.10.20	1.34251	1.34420	1.33988	1.34031	72273	0	18
2025.10.21	1.34014	1.34154	1.33603	1.33680	93770	0	18
2025.10.22	1.33656	1.33862	1.33046	1.33539	83076	0	18
2025.10.23	1.33537	1.33587	1.33079	1.33248	70728	0	18
2025.10.24	1.33209	1.33670	1.32865	1.33072	92843	0	18
2025.10.27	1.33222	1.33516	1.33095	1.33343	73500	0	18
2025.10.28	1.33344	1.33685	1.32470	1.32723	87587	0	18
2025.10.29	1.32726	1.32801	1.31395	1.31941	106839	0	18
2025.10.30	1.31944	1.32177	1.31153	1.31486	90351	0	18
2025.10.31	1.31489	1.31640	1.30954	1.31447	68980	0	18
2025.11.03	1.31276	1.31617	1.31078	1.31372	62486	0	18
2025.11.04	1.31378	1.31398	1.30085	1.30185	75443	0	18
2025.11.05	1.30191	1.30530	1.30093	1.30500	69450	0	18
2025.11.06	1.30449	1.31419	1.30444	1.31370	68459	0	18
2025.11.07	1.31252	1.31741	1.30938	1.31553	72668	0	18
2025.11.10	1.31461	1.31902	1.31359	1.31732	75225	0	18
2025.11.11	1.31699	1.31833	1.31154	1.31480	77846	0	18
2025.11.12	1.31498	1.31579	1.30833	1.31308	73519	0	18
2025.11.13	1.31279	1.32154	1.30985	1.31906	88135	0	18
2025.11.14	1.31873	1.32000	1.31075	1.31649	89247	0	18
2025.11.17	1.31515	1.31917	1.31348	1.31524	68350	0	18
2025.11.18	1.31547	1.31758	1.31324	1.31441	91145	0	18
2025.11.19	1.31456	1.31540	1.30425	1.30565	88338	0	18
2025.11.20	1.30552	1.31222	1.30366	1.30703	80472	0	18
2025.11.21	1.30685	1.31090	1.30379	1.30924	112208	0	18
2025.11.24	1.31001	1.31173	1.30793	1.31029	87219	0	18
2025.11.25	1.31069	1.32132	1.30944	1.31639	100452	0	18
2025.11.26	1.31630	1.32426	1.31236	1.32416	115982	0	18
2025.11.27	1.32345	1.32679	1.32087	1.32380	67683	0	18
2025.11.28	1.32382	1.32537	1.31997	1.32376	193067	0	18
